survey id,id,income,childs,age,degree,rincome,health,wrkstat
7,1,12,3,23,1,10,2,2
8,2,12,3,45,1,11,2,1
24,3,11,2,25,2,10,3,1
31,4,12,2,68,1,12,2,1
37,5,12,2,43,3,12,2,1
38,6,12,0,58,3,12,1,1
43,7,12,0,36,4,12,2,1
58,8,8,2,59,4,8,1,1
59,9,9,3,35,0,6,2,4
65,10,12,2,30,0,12,3,1
71,11,12,2,57,3,12,2,1
74,12,12,2,35,3,12,1,2
76,13,12,0,36,4,12,1,2
77,14,12,0,37,4,12,2,1
81,15,12,1,35,2,12,1,1
83,16,12,3,44,1,12,2,1
84,17,12,3,41,2,12,2,1
87,18,11,1,41,1,11,3,1
110,19,12,2,37,3,12,3,1
121,20,12,0,52,1,10,1,2
131,21,12,2,27,2,12,1,1
132,22,9,1,60,1,4,2,7
134,23,12,3,47,1,12,4,1
138,24,12,0,38,3,12,1,1
153,25,10,0,61,4,10,3,2
156,26,12,2,52,3,11,2,2
162,27,9,2,61,1,9,3,2
175,28,12,1,51,1,12,2,1
179,29,9,4,38,1,5,3,2
180,30,12,1,76,4,12,3,5
190,31,11,1,39,1,10,2,4
192,32,12,3,51,0,10,2,2
193,33,12,3,40,0,11,3,1
194,34,11,4,32,0,10,2,1
198,35,12,0,22,2,3,2,2
206,36,12,0,38,3,12,2,1
217,37,12,2,45,0,11,2,1
235,38,12,2,48,3,12,2,1
238,39,12,0,34,1,9,1,1
241,40,12,0,32,1,11,3,1
245,41,12,0,44,4,12,1,4
260,42,12,1,62,4,12,2,3
263,43,2,1,30,1,3,2,4
272,44,12,2,62,3,12,2,5
281,45,10,2,49,1,9,2,4
285,46,12,3,38,2,12,2,1
288,47,12,2,73,1,12,2,1
289,48,12,0,31,4,12,1,1
312,49,12,2,60,1,12,3,1
334,50,12,3,35,1,12,3,1
336,51,12,1,58,3,12,2,1
344,52,12,0,51,3,12,1,1
347,53,12,2,40,1,11,4,1
353,54,12,4,56,1,12,2,1
356,55,12,2,35,3,12,1,2
358,56,12,2,36,2,12,2,1
362,57,12,4,79,4,12,1,5
377,58,12,0,29,3,4,4,7
383,59,12,2,40,1,12,2,1
390,60,12,5,65,3,12,2,5
391,61,12,3,41,1,12,4,2
396,62,12,0,26,1,10,2,6
397,63,12,2,34,4,12,1,1
402,64,12,5,45,2,12,1,1
414,65,11,2,34,1,11,2,1
416,66,12,4,44,1,10,2,1
430,67,12,0,26,0,12,2,1
440,68,12,0,29,3,12,1,1
466,69,12,1,57,4,12,2,1
479,70,9,0,34,4,7,2,1
482,71,12,0,26,3,8,2,1
490,72,12,1,29,1,12,2,1
504,73,12,0,20,1,11,2,1
506,74,12,1,54,3,12,1,1
520,75,12,1,58,1,12,4,1
526,76,12,0,23,1,9,1,2
529,77,12,2,52,3,12,1,1
546,78,12,3,32,1,12,3,1
558,79,12,0,60,4,12,1,2
563,80,12,4,37,1,12,2,1
566,81,12,2,55,1,12,1,1
567,82,12,1,28,1,11,2,1
571,83,12,1,63,3,12,2,5
572,84,12,2,47,3,12,2,1
580,85,12,0,42,1,12,3,2
582,86,12,3,46,0,12,1,1
585,87,12,0,54,0,5,3,7
593,88,12,0,32,1,12,3,1
598,89,12,2,68,1,12,1,8
606,90,12,4,31,1,11,2,2
611,91,9,1,53,0,9,3,2
612,92,6,1,47,1,6,3,2
617,93,12,0,62,4,12,2,1
623,94,12,2,57,1,11,2,1
626,95,12,3,58,3,7,2,2
631,96,12,3,54,1,12,1,2
659,97,12,3,49,3,12,2,1
664,98,12,3,61,1,12,2,1
665,99,12,2,40,1,12,4,1
671,100,12,3,57,1,12,2,1
672,101,12,1,27,1,10,3,2
678,102,12,3,28,1,12,2,1
685,103,12,3,60,1,11,3,1
694,104,6,5,32,1,6,3,2
699,105,12,2,40,1,12,2,1
722,106,12,0,69,1,10,1,7
728,107,12,2,59,3,12,2,4
731,108,11,2,37,2,11,3,7
734,109,12,3,51,1,12,1,3
741,110,12,2,48,1,12,2,1
747,111,12,0,29,1,11,3,1
750,112,9,1,38,1,9,2,1
757,113,12,3,68,2,12,2,1
758,114,12,6,42,1,12,2,1
774,115,12,3,57,1,10,2,2
785,116,12,1,24,2,9,1,1
793,117,12,0,27,1,2,1,6
796,118,11,2,31,1,10,1,1
808,119,12,0,53,4,12,1,1
811,120,12,2,52,4,12,1,1
820,121,9,2,47,1,9,3,1
823,122,12,2,32,3,12,2,1
828,123,12,4,38,1,12,2,1
830,124,12,0,66,3,12,1,1
846,125,12,0,27,1,12,2,1
849,126,11,0,27,3,8,1,1
853,127,4,0,44,1,1,1,2
865,128,12,0,61,3,12,2,1
866,129,12,0,46,1,12,2,1
869,130,12,0,35,3,12,2,1
883,131,12,0,27,2,12,2,1
889,132,12,0,21,1,8,3,1
900,133,12,0,33,2,12,3,1
902,134,12,1,23,1,12,2,2
915,135,12,6,42,1,12,2,1
918,136,12,1,30,1,12,2,7
920,137,12,1,39,1,12,2,1
926,138,12,2,37,1,12,2,1
938,139,12,0,27,4,8,1,1
939,140,12,0,27,4,12,1,1
942,141,12,0,63,3,12,1,5
950,142,12,0,43,1,2,3,2
953,143,12,2,54,1,12,2,1
956,144,10,1,28,1,10,4,2
963,145,10,4,73,1,2,1,2
964,146,12,3,57,1,12,3,8
975,147,12,1,59,1,12,2,1
985,148,12,0,25,1,11,1,4
986,149,9,3,59,1,9,2,1
991,150,10,3,57,0,9,2,1
993,151,12,0,35,1,12,3,1
996,152,12,0,42,4,12,1,1
998,153,12,5,69,0,12,3,1
1003,154,12,3,45,3,12,2,1
1008,155,12,0,24,0,12,1,1
1010,156,12,1,32,3,12,1,4
1016,157,12,0,64,1,12,1,1
1027,158,12,2,64,3,12,2,1
1034,159,12,2,65,3,12,2,1
1038,160,12,2,56,3,12,1,1
1043,161,12,0,23,1,9,2,2
1045,162,12,1,46,1,12,2,1
1051,163,12,0,30,3,4,3,2
1059,164,9,3,31,1,8,3,2
1063,165,11,1,35,2,11,2,6
1068,166,12,1,61,1,12,3,1
1070,167,12,0,60,1,12,2,1
1072,168,11,0,25,3,9,1,1
1081,169,12,1,35,2,12,2,1
1088,170,11,2,52,4,11,2,1
1090,171,12,3,38,0,12,1,1
1091,172,12,6,39,1,12,2,1
1096,173,12,0,39,1,12,2,1
1099,174,12,2,56,1,11,2,1
1122,175,12,1,52,4,12,2,1
1124,176,12,0,19,1,5,2,6
1125,177,12,3,51,1,1,2,2
1129,178,12,0,28,3,12,2,1
1130,179,12,0,31,1,12,3,1
1135,180,12,0,58,1,12,3,1
1137,181,12,3,47,3,12,3,1
1146,182,12,1,49,4,11,1,1
1149,183,12,3,52,1,12,3,1
1156,184,12,1,33,1,2,4,1
1158,185,12,2,54,2,12,2,1
1167,186,12,0,37,3,12,2,1
1174,187,12,0,21,1,11,1,1
1176,188,9,0,67,3,9,3,4
1188,189,11,0,21,1,11,2,1
1198,190,12,0,31,1,10,2,4
1206,191,12,3,44,4,2,1,2
1218,192,12,2,57,3,12,1,1
1219,193,12,3,63,1,12,1,1
1220,194,12,1,55,2,10,3,2
1223,195,12,2,53,1,12,2,1
1235,196,12,0,35,3,12,1,1
1244,197,12,1,48,3,12,2,1
1254,198,12,4,43,1,12,2,1
1263,199,12,2,68,1,11,2,2
1264,200,12,0,36,2,12,3,1
1269,201,12,5,46,1,12,4,1
1286,202,12,0,24,1,12,2,1
1291,203,12,1,50,1,12,2,1
1293,204,12,4,58,1,12,2,2
1294,205,5,1,34,1,5,2,4
1300,206,12,2,73,2,9,2,2
1302,207,11,1,25,1,5,1,2
1305,208,12,7,65,0,12,2,1
1310,209,12,1,30,1,10,3,1
1323,210,12,2,63,4,12,2,1
1328,211,12,2,32,2,12,2,1
1331,212,12,3,48,4,12,2,1
1333,213,6,3,68,2,12,1,1
1345,214,12,1,35,1,10,2,1
1369,215,12,4,52,3,4,2,4
1370,216,12,1,58,1,12,3,1
1372,217,12,0,26,3,12,3,1
1387,218,12,2,52,1,12,2,1
1390,219,12,2,54,1,12,2,1
1400,220,4,2,54,3,8,2,1
1402,221,12,2,25,1,2,2,1
1403,222,6,1,44,1,1,2,7
1405,223,12,2,24,1,12,4,1
1423,224,12,2,37,1,12,2,1
1431,225,12,0,31,2,12,1,1
1432,226,12,3,36,4,12,2,1
1434,227,12,0,58,0,12,4,1
1445,228,12,0,56,1,12,2,1
1446,229,12,2,29,1,9,2,2
1452,230,12,3,52,2,10,1,1
1460,231,12,3,63,1,10,2,1
1464,232,11,1,31,1,11,2,1
1469,233,12,6,63,1,10,2,2
1475,234,11,0,52,1,9,3,2
1476,235,12,2,31,1,12,2,7
1480,236,12,0,57,3,12,3,1
1482,237,12,2,60,0,12,2,1
1485,238,12,4,50,3,12,4,1
1495,239,9,1,25,1,6,2,1
1502,240,12,2,59,3,12,2,1
1504,241,12,1,53,3,10,3,2
1509,242,12,3,50,3,12,1,1
1516,243,12,1,29,2,11,1,6
1518,244,12,0,25,1,10,2,1
1522,245,12,2,47,3,12,2,1
1528,246,11,6,86,1,1,2,5
1536,247,12,0,64,4,12,2,1
1541,248,12,2,60,1,10,1,2
1546,249,9,3,43,0,8,2,2
1548,250,12,0,59,3,12,2,1
1555,251,12,1,26,1,6,2,1
1556,252,10,0,64,1,7,2,2
1559,253,12,3,58,3,12,2,1
1567,254,12,1,63,4,12,2,1
1569,255,12,1,66,4,1,3,2
1571,256,12,1,49,4,12,3,1
1572,257,12,1,57,4,12,2,1
1573,258,12,2,41,1,12,3,1
1574,259,12,0,42,4,12,2,1
1575,260,12,0,38,3,12,2,3
1579,261,12,2,38,0,10,2,4
1580,262,12,3,55,1,12,1,1
1587,263,12,0,67,4,10,1,2
1592,264,12,2,66,1,12,2,5
1595,265,12,2,52,4,12,2,1
1602,266,12,2,66,1,12,2,1
1614,267,12,1,67,1,9,2,2
1621,268,12,2,51,1,12,1,1
1631,269,12,5,37,1,12,1,1
1643,270,12,1,29,2,12,2,1
1654,271,12,2,28,3,12,2,1
1657,272,11,2,30,2,11,1,1
1670,273,9,0,23,3,5,2,1
1674,274,12,0,39,1,12,3,1
1675,275,12,1,47,3,11,2,1
1686,276,12,1,56,1,12,2,1
1691,277,12,2,50,3,12,1,1
1702,278,12,1,48,0,12,3,1
1703,279,12,3,54,1,12,2,4
1705,280,12,3,34,3,12,3,1
1716,281,12,1,45,3,12,2,3
1717,282,12,3,35,1,12,2,1
